name,path,has_oms,has_carbon,has_hydrogen,has_atomic_overlaps,has_overcoordinated_c,has_metal,density
NIHBAI01_clean,/home/kevin/mof_core2/NIHBAI01_clean.cif,False,True,True,False,False,True,1.76453929203327
QOZGAP_clean,/home/kevin/mof_core2/QOZGAP_clean.cif,False,True,True,False,False,True,1.1953979930869751
HITXUE_clean,/home/kevin/mof_core2/HITXUE_clean.cif,False,False,False,False,False,True,1.4594862265145665
OVADAR_clean,/home/kevin/mof_core2/OVADAR_clean.cif,True,True,True,False,False,True,1.2108942174842852
IKOPIJ_clean,/home/kevin/mof_core2/IKOPIJ_clean.cif,True,True,True,False,False,True,1.1220853904119676
c6ce00134c_c6ce00134c2_clean,/home/kevin/mof_core2/c6ce00134c_c6ce00134c2_clean.cif,False,True,True,False,False,True,1.2225509342484606
ja5b02999_si_002_clean,/home/kevin/mof_core2/ja5b02999_si_002_clean.cif,True,True,True,False,False,True,0.5972655678011856
MOXNUJ_clean,/home/kevin/mof_core2/MOXNUJ_clean.cif,True,True,True,False,False,True,0.7460983225961163
KEDJAG02_clean,/home/kevin/mof_core2/KEDJAG02_clean.cif,False,False,False,False,False,True,1.0580815353827753
VALSIM_clean,/home/kevin/mof_core2/VALSIM_clean.cif,False,True,True,True,True,True,1.981288274019558
IBOZIK_clean,/home/kevin/mof_core2/IBOZIK_clean.cif,True,True,True,False,False,True,0.9400509630133481
SOPLIU_clean,/home/kevin/mof_core2/SOPLIU_clean.cif,False,True,True,False,False,True,0.7936481198542015
FEVDIV_clean,/home/kevin/mof_core2/FEVDIV_clean.cif,False,True,True,False,False,True,1.2507270537816737
HUSGAE_clean,/home/kevin/mof_core2/HUSGAE_clean.cif,True,True,True,False,False,True,2.1872769955924967
ANOMUM_clean,/home/kevin/mof_core2/ANOMUM_clean.cif,True,True,True,False,False,True,0.8337232441756623
VAZLOZ_clean,/home/kevin/mof_core2/VAZLOZ_clean.cif,True,True,True,False,False,True,2.3031355066051216
YIJYUN_clean,/home/kevin/mof_core2/YIJYUN_clean.cif,True,True,True,False,False,True,1.6058257427855884
ORERAG_clean,/home/kevin/mof_core2/ORERAG_clean.cif,True,True,True,False,False,True,1.7077048646548694
TOWNUQ_clean,/home/kevin/mof_core2/TOWNUQ_clean.cif,False,True,True,False,False,True,0.8772771776045322
ELAZEX_clean,/home/kevin/mof_core2/ELAZEX_clean.cif,True,True,True,False,False,True,1.9858959960504363
YIWPAV_clean,/home/kevin/mof_core2/YIWPAV_clean.cif,False,False,False,False,False,True,1.2417188145966076
XISPUM_clean,/home/kevin/mof_core2/XISPUM_clean.cif,True,True,True,False,False,True,1.2176464466923016
TOTVEF_clean,/home/kevin/mof_core2/TOTVEF_clean.cif,False,True,True,False,False,True,2.05424939783919
WIPLOY_clean,/home/kevin/mof_core2/WIPLOY_clean.cif,False,True,True,False,False,True,1.1810999020841126
YUYBIF_clean,/home/kevin/mof_core2/YUYBIF_clean.cif,False,True,True,False,False,True,1.441753938931627
NAQREE_clean,/home/kevin/mof_core2/NAQREE_clean.cif,False,True,True,False,False,True,1.0819576634120924
FONPUV_clean,/home/kevin/mof_core2/FONPUV_clean.cif,True,True,True,False,False,True,1.5426540700626372
ja809985t_si_002_clean,/home/kevin/mof_core2/ja809985t_si_002_clean.cif,True,True,True,False,False,True,0.4062550112430721
NIWZIE12_clean,/home/kevin/mof_core2/NIWZIE12_clean.cif,False,True,True,False,False,True,1.4101979765950319
MURNIX_clean,/home/kevin/mof_core2/MURNIX_clean.cif,False,True,True,False,False,True,2.348301047834102
CAHSOU_clean,/home/kevin/mof_core2/CAHSOU_clean.cif,False,False,False,False,False,True,2.2942772149153763
VASFUT_clean,/home/kevin/mof_core2/VASFUT_clean.cif,False,True,True,False,False,True,1.6420226686628712
c5ra26357c_c5ra26357c2_clean,/home/kevin/mof_core2/c5ra26357c_c5ra26357c2_clean.cif,True,True,True,False,False,True,1.0111306900220087
RIGPEE_clean,/home/kevin/mof_core2/RIGPEE_clean.cif,True,True,True,False,False,True,1.231603148064643
NOFQII_clean,/home/kevin/mof_core2/NOFQII_clean.cif,False,True,True,False,False,True,1.724075663034733
XANKOO_clean,/home/kevin/mof_core2/XANKOO_clean.cif,True,False,False,False,False,True,0.7455404020482533
TUKDAG_clean,/home/kevin/mof_core2/TUKDAG_clean.cif,True,True,True,False,False,True,1.4710525399651517
FASVIH_clean,/home/kevin/mof_core2/FASVIH_clean.cif,True,True,True,False,False,True,1.2893722397708935
acs.inorgchem.6b00876_ic6b00876_si_002_clean,/home/kevin/mof_core2/acs.inorgchem.6b00876_ic6b00876_si_002_clean.cif,False,True,True,False,False,True,1.2432658221571438
